Net,Size,Precision,Sensitivity,Specificity,F1-Score
ResNet18,256,88,89.4,89.4,88.6
ResNet18,256,88,90.6,90.6,88.8
ResNet18,256,88,90.6,90.6,88.8
ResNet50,256,90,90.8,90.8,90.4
ResNet50,256,90.3,89.5,89.5,89.9
ResNet50,256,90,90.8,90.8,90.4
ResNet18,512,82.4,84.2,84.2,83
ResNet18,512,84.4,86.7,86.7,85
ResNet18,512,84.2,85.6,85.6,84.8
ResNet50,512,83.5,86.4,86.4,83.5
ResNet50,512,86.4,89.2,89.2,87
ResNet50,512,84.4,86.7,86.7,85
ResNet18+RMTL,256,80.5,81.7,81.7,81
ResNet18+RMTL,256,82.4,84.2,84.2,83
ResNet18+RMTL,256,82.4,83.1,83.1,82.7
ResNet50+RMTL,256,86.4,89.2,89.2,87
ResNet50+RMTL,256,88,90.6,90.6,88.8
ResNet50+RMTL,256,88.5,91.7,91.7,88.9
ResNet18+RMTL,512,84.4,86.7,86.7,85
ResNet18+RMTL,512,84.4,86.7,86.7,85
ResNet18+RMTL,512,86.1,88.1,88.1,86.8
ResNet50+RMTL,512,80.7,82.8,82.6,81.3
ResNet50+RMTL,512,82.4,84.2,84.2,83
ResNet50+RMTL,512,82.8,85.3,85.3,83.3
ResNet18+LA-Net,256,93.3,91.1,91.1,92
ResNet18+LA-Net,256,92.2,92.2,92.2,92.2
ResNet18+LA-Net,256,93.3,91.1,91.1,92
ResNet50+LA-Net,256,94.7,93.6,93.6,94.1
ResNet50+LA-Net,256,94.7,93.6,93.6,94.1
ResNet50+LA-Net,256,94.7,93.6,93.6,94.1
ResNet18+LA-Net,512,96.1,96.1,96.1,96.1
ResNet18+LA-Net,512,97.4,95,95,96
ResNet18+LA-Net,512,97.4,95,95,96
ResNet50+LA-Net,512,92.2,92.2,92.2,92.2
ResNet50+LA-Net,512,92.2,92.2,92.2,92.2
ResNet50+LA-Net,512,91.7,93.3,93.3,92.4
